seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,day_of_week,main_line_norm,overnight_flag,dep_dt,arr_dt,block_time_min,sched_dur_min,dur_diff_min,est_revenue_won_general
15,3015,화물,정기,하,오봉,16:47:00,부산신항,21:49:00,5:02:00,402.3,일화수목금토,경부선,,16:47:00,21:49:00,18120,79.9271523178808,Wed,Gyeongbu Line,0,2024-01-03 16:47:00,2024-01-03 21:49:00,302.0,302.0,0.0,22158684.0
15,3015,화물,정기,하,오봉,16:47:00,부산신항,21:49:00,5:02:00,402.3,일화수목금토,경부선,,16:47:00,21:49:00,18120,79.9271523178808,Thu,Gyeongbu Line,0,2024-01-04 16:47:00,2024-01-04 21:49:00,302.0,302.0,0.0,22158684.0
15,3015,화물,정기,하,오봉,16:47:00,부산신항,21:49:00,5:02:00,402.3,일화수목금토,경부선,,16:47:00,21:49:00,18120,79.9271523178808,Fri,Gyeongbu Line,0,2024-01-05 16:47:00,2024-01-05 21:49:00,302.0,302.0,0.0,22158684.0
15,3015,화물,정기,하,오봉,16:47:00,부산신항,21:49:00,5:02:00,402.3,일화수목금토,경부선,,16:47:00,21:49:00,18120,79.9271523178808,Sat,Gyeongbu Line,0,2024-01-06 16:47:00,2024-01-06 21:49:00,302.0,302.0,0.0,22158684.0
16,3016,화물,정기,상,부산신항,21:10:00,오봉,3:13:00,6:03:00,402.3,월화수목금,경부선,,21:10:00,03:13:00,21780,66.49586776859505,Mon,Gyeongbu Line,1,2024-01-01 21:10:00,2024-01-02 03:13:00,363.0,363.0,0.0,22158684.0
16,3016,화물,정기,상,부산신항,21:10:00,오봉,3:13:00,6:03:00,402.3,월화수목금,경부선,,21:10:00,03:13:00,21780,66.49586776859505,Tue,Gyeongbu Line,1,2024-01-02 21:10:00,2024-01-03 03:13:00,363.0,363.0,0.0,22158684.0
16,3016,화물,정기,상,부산신항,21:10:00,오봉,3:13:00,6:03:00,402.3,월화수목금,경부선,,21:10:00,03:13:00,21780,66.49586776859505,Wed,Gyeongbu Line,1,2024-01-03 21:10:00,2024-01-04 03:13:00,363.0,363.0,0.0,22158684.0
16,3016,화물,정기,상,부산신항,21:10:00,오봉,3:13:00,6:03:00,402.3,월화수목금,경부선,,21:10:00,03:13:00,21780,66.49586776859505,Thu,Gyeongbu Line,1,2024-01-04 21:10:00,2024-01-05 03:13:00,363.0,363.0,0.0,22158684.0
16,3016,화물,정기,상,부산신항,21:10:00,오봉,3:13:00,6:03:00,402.3,월화수목금,경부선,,21:10:00,03:13:00,21780,66.49586776859505,Fri,Gyeongbu Line,1,2024-01-05 21:10:00,2024-01-06 03:13:00,363.0,363.0,0.0,22158684.0
17,3017,화물,정기,하,오봉,18:37:00,부산신항,23:35:00,4:58:00,402.3,월화수목금토,경부선,,18:37:00,23:35:00,17880,81.0,Mon,Gyeongbu Line,0,2024-01-01 18:37:00,2024-01-01 23:35:00,298.0,298.0,0.0,22158684.0
17,3017,화물,정기,하,오봉,18:37:00,부산신항,23:35:00,4:58:00,402.3,월화수목금토,경부선,,18:37:00,23:35:00,17880,81.0,Tue,Gyeongbu Line,0,2024-01-02 18:37:00,2024-01-02 23:35:00,298.0,298.0,0.0,22158684.0
17,3017,화물,정기,하,오봉,18:37:00,부산신항,23:35:00,4:58:00,402.3,월화수목금토,경부선,,18:37:00,23:35:00,17880,81.0,Wed,Gyeongbu Line,0,2024-01-03 18:37:00,2024-01-03 23:35:00,298.0,298.0,0.0,22158684.0
17,3017,화물,정기,하,오봉,18:37:00,부산신항,23:35:00,4:58:00,402.3,월화수목금토,경부선,,18:37:00,23:35:00,17880,81.0,Thu,Gyeongbu Line,0,2024-01-04 18:37:00,2024-01-04 23:35:00,298.0,298.0,0.0,22158684.0
