seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,days_en,main_line_norm,overnight_flag
73,3121,화물,정기,하,오봉,3:21:00,쌍룡,7:24:00,4:03:00,237.2,일월화수목금토,충북선,,03:21:00,07:24:00,14580,58.5679012345679,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
74,3122,화물,정기,상,제천조차장,5:20:00,오봉,8:44:00,3:24:00,216.6,일월화수목금토,충북선,,05:20:00,08:44:00,12240,63.705882352941174,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
75,3123,화물,정기,하,오봉,4:52:00,도담,9:20:00,4:28:00,234.8,일월화수목금토,충북선,,04:52:00,09:20:00,16080,52.56716417910448,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
76,3124,화물,정기,상,제천조차장,5:38:00,오봉,9:14:00,3:36:00,216.6,일월화수목금토,충북선,,05:38:00,09:14:00,12960,60.166666666666664,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
77,3125,화물,정기,하,오봉,6:34:00,도담,10:44:00,4:10:00,234.8,일월화수목금토,충북선,,06:34:00,10:44:00,15000,56.352,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
78,3126,화물,정기,상,입석리,8:27:00,오봉,12:45:00,4:18:00,232.6,일월화수목금토,충북선,,08:27:00,12:45:00,15480,54.093023255813954,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
79,3127,화물,정기,하,오봉,8:57:00,옥계,18:27:00,9:30:00,395.1,일월화수목금토,충북선,,08:57:00,18:27:00,34200,41.58947368421053,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
80,3128,화물,정기,상,제천조차장,9:15:00,오봉,13:35:00,4:20:00,216.6,일월화수목금토,충북선,,09:15:00,13:35:00,15600,49.98461538461539,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
81,3129,화물,정기,하,오봉,10:55:00,쌍룡,15:22:00,4:27:00,237.2,일월화수목금토,충북선,,10:55:00,15:22:00,16020,53.30337078651685,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
82,3130,화물,정기,상,도담,11:05:00,오봉,15:14:00,4:09:00,234.8,일월화수목금토,충북선,,11:05:00,15:14:00,14940,56.57831325301205,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
